log_id,geracao_id,client_id,client_name,workflow_origem,cenario_make,tipo_log,tipo_entrega,mes_referencia,pode_gerar,status_guardrail,motivo_bloqueio,contrato_ativo,tipo_entrega_contratado,dentro_limite_operacional,servico_extra_aprovado,ajuste_manual_autorizado,risco_operacional,status_execucao_gpt,modelo_gpt,tokens_estimados,erro_tecnico,responsavel_operacional,observacao,data_evento,data_criacao
,516e07ab-77e4-4130-b617-7a994e6c7b85,FLUXAI_LABS_001,FluxAI Labs,13_FLUXAI_IA_GUARDRAIL,13_FLUXAI_IA_GUARDRAIL,guardrail,reels,2026-07,sim,liberado_contrato,,sim,sim,sim,não,não,baixo,guardrail,,,,,,2026-07-07 14:23:33,2026-07-07 14:23:33
,516e07ab-77e4-4130-b617-7a994e6c7b85,FLUXAI_LABS_001,FluxAI Labs,17_FLUXAI_GPT_GERACOES_LOG,17_FLUXAI_GPT_GERACOES_LOG,execucao_gpt,,,,,,,,,,,,,,,,,,2026-07-07 14:23:39,2026-07-07 14:23:39
,2fb446d0-46b7-491e-8819-976fcc9639b1,FLUXAI_LABS_001,FluxAI Labs,13_FLUXAI_IA_GUARDRAIL,13_FLUXAI_IA_GUARDRAIL,guardrail,reels,2026-07,sim,liberado_contrato,,sim,sim,sim,não,não,baixo,guardrail,,,,,,2026-07-07 14:23:40,2026-07-07 14:23:40
,b6d59c18-98a3-4f71-88ae-9d7e3a9da388,FLUXAI_LABS_001,FluxAI Labs,13_FLUXAI_IA_GUARDRAIL,13_FLUXAI_IA_GUARDRAIL,guardrail,reels,2026-07,sim,liberado_contrato,,sim,sim,sim,não,não,baixo,guardrail,,,,,,2026-07-07 14:23:46,2026-07-07 14:23:46
,2fb446d0-46b7-491e-8819-976fcc9639b1,FLUXAI_LABS_001,FluxAI Labs,17_FLUXAI_GPT_GERACOES_LOG,17_FLUXAI_GPT_GERACOES_LOG,execucao_gpt,,,,,,,,,,,,,,,,,,2026-07-07 14:23:49,2026-07-07 14:23:49
,7873d53b-8276-4ba3-a54b-d2237d1ce7d3,FLUXAI_LABS_001,FluxAI Labs,13_FLUXAI_IA_GUARDRAIL,13_FLUXAI_IA_GUARDRAIL,guardrail,reels,2026-07,sim,liberado_contrato,,sim,sim,sim,não,não,baixo,guardrail,,,,,,2026-07-07 14:23:51,2026-07-07 14:23:51
,b6d59c18-98a3-4f71-88ae-9d7e3a9da388,FLUXAI_LABS_001,FluxAI Labs,17_FLUXAI_GPT_GERACOES_LOG,17_FLUXAI_GPT_GERACOES_LOG,execucao_gpt,,,,,,,,,,,,,,,,,,2026-07-07 14:23:55,2026-07-07 14:23:55
,e38c54a4-8e90-4265-8394-c85bb8b63373,FLUXAI_LABS_001,FluxAI Labs,13_FLUXAI_IA_GUARDRAIL,13_FLUXAI_IA_GUARDRAIL,guardrail,reels,2026-07,sim,liberado_contrato,,sim,sim,sim,não,não,baixo,guardrail,,,,,,2026-07-07 14:23:56,2026-07-07 14:23:56
,7873d53b-8276-4ba3-a54b-d2237d1ce7d3,FLUXAI_LABS_001,FluxAI Labs,17_FLUXAI_GPT_GERACOES_LOG,17_FLUXAI_GPT_GERACOES_LOG,execucao_gpt,,,,,,,,,,,,,,,,,,2026-07-07 14:24:00,2026-07-07 14:24:00
,6594d0fc-c1c1-4b76-8e3b-3d071e161b49,FLUXAI_LABS_001,FluxAI Labs,13_FLUXAI_IA_GUARDRAIL,13_FLUXAI_IA_GUARDRAIL,guardrail,reels,2026-07,sim,liberado_contrato,,sim,sim,sim,não,não,baixo,guardrail,,,,,,2026-07-07 14:24:02,2026-07-07 14:24:02
,e38c54a4-8e90-4265-8394-c85bb8b63373,FLUXAI_LABS_001,FluxAI Labs,17_FLUXAI_GPT_GERACOES_LOG,17_FLUXAI_GPT_GERACOES_LOG,execucao_gpt,,,,,,,,,,,,,,,,,,2026-07-07 14:24:05,2026-07-07 14:24:05
,fa3d5314-95fa-4174-bdf4-e646f1560828,FLUXAI_LABS_001,FluxAI Labs,13_FLUXAI_IA_GUARDRAIL,13_FLUXAI_IA_GUARDRAIL,guardrail,reels,2026-07,sim,liberado_contrato,,sim,sim,sim,não,não,baixo,guardrail,,,,,,2026-07-07 14:24:07,2026-07-07 14:24:07
,6594d0fc-c1c1-4b76-8e3b-3d071e161b49,FLUXAI_LABS_001,FluxAI Labs,17_FLUXAI_GPT_GERACOES_LOG,17_FLUXAI_GPT_GERACOES_LOG,execucao_gpt,,,,,,,,,,,,,,,,,,2026-07-07 14:24:10,2026-07-07 14:24:10
,cacb77d7-cb70-42be-a54d-44b0ec64fa2e,FLUXAI_LABS_001,FluxAI Labs,13_FLUXAI_IA_GUARDRAIL,13_FLUXAI_IA_GUARDRAIL,guardrail,reels,2026-07,sim,liberado_contrato,,sim,sim,sim,não,não,baixo,guardrail,,,,,,2026-07-07 14:24:13,2026-07-07 14:24:13
,fa3d5314-95fa-4174-bdf4-e646f1560828,FLUXAI_LABS_001,FluxAI Labs,17_FLUXAI_GPT_GERACOES_LOG,17_FLUXAI_GPT_GERACOES_LOG,execucao_gpt,,,,,,,,,,,,,,,,,,2026-07-07 14:24:15,2026-07-07 14:24:15
