dia_ciclo,data_planejada,classificacao_conteudo,conteudo_raiz,conteudo_derivado,acao_instagram_feed,acao_instagram_stories,acao_linkedin,acao_facebook,acao_comercial_manual,pilar,objetivo,cta_operacional,status_editorial,status_aprovacao,responsavel,ativo_necessario,risco_promessa,fonte_canonica,versao,observacao
D1,A definir,Post Fixado Oficial,CONT_FIX_01,Nenhum,Postagem Carrossel,Bastidores da operacao,Nenhuma,Nenhuma,Responder comentarios,Sistemas de Crescimento,Diferenciar FluxAI do mercado,Solicitar Diagnostico Estrategico,em_revisao,pendente_humano,FluxAI,Design vetorizado,Baixo,Documento-Mestre Comercial,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D2,A definir,Post Fixado Oficial,CONT_FIX_02,Nenhum,Postagem Carrossel,representação conceitual do FluxAI OS™,Nenhuma,Nenhuma,Mapear decisores no LinkedIn,FluxAI OS™,Provar operacao organizada,Fale com nossa equipe no WhatsApp,em_revisao,pendente_humano,FluxAI,Design Mockup,Baixo,Checklist Instagram,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D3,A definir,Post Fixado Oficial,CONT_FIX_03,Nenhum,Postagem Carrossel,Duvida sobre consultoria gratuita,Nenhuma,Nenhuma,Conducao manual B2B,Diagnostico,Apresentar entrada formal,Envie uma mensagem pelo WhatsApp,em_revisao,pendente_humano,FluxAI,Design vetorizado,Baixo,Documento-Mestre Comercial,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D4,A definir,Postagem Principal,CONT_REG_04,Nenhum,Postagem Reels,Enquete sobre falhas em vendas,Nenhuma,Nenhuma,Networking DMs,Sistemas de Crescimento,Explicar sistema de crescimento,Fale com nossa equipe no direct,em_revisao,pendente_humano,FluxAI,Video corporativo,Baixo,Plano de Publicacao,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D5,A definir,Postagem Principal,CONT_REG_05,Nenhum,Postagem Carrossel,Listar 3 falhas de ocupacao,Nenhuma,Nenhuma,Responder interacoes privadas,Diagnostico,Alertar diretores exaustos,Salve este conteudo,em_revisao,pendente_humano,FluxAI,Carrossel numerado,Baixo,Plano de Publicacao,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D6,A definir,Dia de Repost,CONT_FIX_01,CONT_FIX_01_LI,Nenhuma,Nenhuma,Artigo LinkedIn adaptado,Nenhuma,Convidar leads antigos para revisar posts,Sistemas de Crescimento,Repetir tese em canais densos,Sem CTA comercial,em_revisao,pendente_humano,FluxAI,Texto formatado LI,Baixo,Plano de Publicacao,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D7,A definir,Postagem Principal,CONT_REG_06,Nenhum,Postagem Carrossel,Story interrogativo funil,Nenhuma,Nenhuma,Filtro de DMs,Engenharia de Autoridade,Evidenciar conteudo como ativo,Compartilhe esta reflexao,em_revisao,pendente_humano,FluxAI,Design Institucional,Baixo,Plano de Publicacao,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D8,A definir,Dia Silente,Nenhum,Nenhum,Nenhuma,Sessao de perguntas rapida Fundadora,Nenhuma,Nenhuma,Abordar decisores no LinkedIn,Visao da Fundadora,Construcao humanizada,Sem CTA comercial,em_revisao,pendente_humano,FluxAI,Nenhum,Baixo,Auditoria Instagram,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D9,A definir,Postagem Principal,CONT_REG_07,Nenhum,Postagem Reels,Reflexao sobre trafego sem base,Nenhuma,Nenhuma,Acompanhar interacoes,Sistemas de Crescimento,Quebrar crenca em anuncio salvador,Converse com a FluxAI pelo WhatsApp,em_revisao,pendente_humano,FluxAI,Video B-Roll locutado,Baixo,Plano de Publicacao,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D10,A definir,Postagem Principal,CONT_REG_08,Nenhum,Nenhuma,Enquete sobre relatorios uteis,Artigo longo LI,Nenhuma,Networking ativo em posts C-Level,Bastidores,Sintese corporativa,Fale com nossa equipe,em_revisao,pendente_humano,FluxAI,Imagem da Fundadora,Baixo,Plano de Publicacao,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D11,A definir,Dia Silente,Nenhum,Nenhum,Nenhuma,Nenhuma,Nenhuma,Nenhuma,Manutencao organica de mensagens,Bastidores,Silencio,Sem CTA comercial,em_revisao,pendente_humano,FluxAI,Nenhum,Baixo,Auditoria Instagram,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D12,A definir,Postagem Principal,CONT_REG_09,Nenhum,Postagem Carrossel,Comparacao antes e depois logico,Nenhuma,Nenhuma,Fechamento de chamadas pendentes,Bastidores,Proteger posicionamento,Avalie com a equipe,em_revisao,pendente_humano,FluxAI,Carrossel premium,Baixo,Plano de Publicacao,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D13,A definir,Dia de Repost,CONT_REG_04,CONT_REG_04_LI,Nenhuma,Nenhuma,Texto curto em LI,Nenhuma,Mapear contas empresa no LI,Sistemas de Crescimento,Sintese educacional,Sem CTA comercial,em_revisao,pendente_humano,FluxAI,Texto formatado,Baixo,Plano de Publicacao,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D14,A definir,Dia Silente,Nenhum,Nenhum,Nenhuma,Visao da fundadora relaxada,Nenhuma,Nenhuma,Folga operacional comercial,Visao da Fundadora,Humanizacao no fds,Sem CTA comercial,em_revisao,pendente_humano,FluxAI,Camera smartphone,Baixo,Auditoria Instagram,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D15,A definir,Dia de Repost,CONT_REG_05,CONT_REG_05_FB,Nenhuma,Nenhuma,Nenhuma,Post Estatico Facebook,Follow-up educacional de leads parados,Diagnostico,Lembrete visual,Sem CTA comercial,em_revisao,pendente_humano,FluxAI,Capa carrossel,Baixo,Plano de Publicacao,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D16,A definir,Dia Silente,Nenhum,Nenhum,Nenhuma,Mitos comuns da operacao,Nenhuma,Nenhuma,Conversas ativas direct IG,Engenharia de Autoridade,Gerar conversas quentes,Responda este story,em_revisao,pendente_humano,FluxAI,Textos no app,Baixo,Auditoria Instagram,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D17,A definir,Dia de Repost,CONT_REG_06,CONT_REG_06_LI,Nenhuma,Nenhuma,Artigo PDF denso LI,Nenhuma,relacionamento direcionado,Engenharia de Autoridade,Profundidade tecnica,Sem CTA comercial,em_revisao,pendente_humano,FluxAI,PDF renderizado,Baixo,Plano de Publicacao,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D18,A definir,Dia de Repost,CONT_FIX_03,CONT_FIX_03_FB,Nenhuma,explicação do modelo de relatório sem dados de clientes,Nenhuma,Post institucional Facebook,Resposta ativa,Diagnostico,Aumento percepcao de diagnostico,solicite o Diagnóstico pelo contato do perfil,em_revisao,pendente_humano,FluxAI,Arte diagnostico,Baixo,Plano de Publicacao,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D19,A definir,Dia Silente,Nenhum,Nenhum,Nenhuma,Rotina OS da fundadora,Nenhuma,Nenhuma,Relacionamento organico B2B,FluxAI OS™,Prova de aplicacao diaria,Sem CTA comercial,em_revisao,pendente_humano,FluxAI,Gravacao de rotina,Baixo,Auditoria Instagram,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D20,A definir,Dia Silente,Nenhum,Nenhum,Nenhuma,Nenhuma,Nenhuma,Nenhuma,Dia livre de prospeccao ativa,Visao da Fundadora,Descanso mental leads,Sem CTA comercial,em_revisao,pendente_humano,FluxAI,Nenhum,Baixo,Auditoria Instagram,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D21,A definir,Dia de Repost,CONT_REG_07,CONT_REG_07_LI,Nenhuma,Nenhuma,Post textual denso LI,Nenhuma,Mapeamento novos decisores LI,Sistemas de Crescimento,Tese de trafego LI,Sem CTA comercial,em_revisao,pendente_humano,FluxAI,Texto formatado,Baixo,Plano de Publicacao,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D22,A definir,Dia Silente,Nenhum,Nenhum,Nenhuma,perguntas sobre processos e acompanhamento,Nenhuma,Nenhuma,Responder publico da enquete anterior,Diagnostico,Esquentar o conceito de sistema,Fale com a equipe,em_revisao,pendente_humano,FluxAI,Caixa perguntas IG,Baixo,Auditoria Instagram,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D23,A definir,Dia Silente,Nenhum,Nenhum,Nenhuma,Nenhuma,Texto executivo CEO LI,Nenhuma,Comentar em publicacoes de parceiros,Engenharia de Autoridade,Gerar reconhecimento,Sem CTA comercial,em_revisao,pendente_humano,FluxAI,Texto app,Baixo,Plano de Publicacao,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D24,A definir,Dia de Repost,CONT_REG_09,CONT_REG_09_FB,Nenhuma,Mostrando erro de tipografia,Nenhuma,Imagem FB Post,contato individual,Bastidores,Manter presenca basica,Sem CTA comercial,em_revisao,pendente_humano,FluxAI,Arte estatica,Baixo,Plano de Publicacao,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D25,A definir,Dia Silente,Nenhum,Nenhum,Nenhuma,Nenhuma,Nenhuma,Nenhuma,Filtro de contatos para encerramento polido,Visao da Fundadora,Silencio pre-virada mes,Sem CTA comercial,em_revisao,pendente_humano,FluxAI,Nenhum,Baixo,Auditoria Instagram,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D26,A definir,Dia de Repost,CONT_FIX_02,CONT_FIX_02_LI,Nenhuma,Recorte OS em stories rapidos,Artigo Institucional OS no LI,Nenhuma,Nutricao lead morno com o post,FluxAI OS™,Reativar conceito de organizacao,Fale conosco,em_revisao,pendente_humano,FluxAI,Texto e arte LI,Baixo,Plano de Publicacao,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D27,A definir,Dia Silente,Nenhum,Nenhum,Nenhuma,Nenhuma,Nenhuma,Nenhuma,Fechamento DMs sem resposta educado,Bastidores,Fechamento logico funil,Sem CTA comercial,em_revisao,pendente_humano,FluxAI,Nenhum,Baixo,Auditoria Instagram,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D28,A definir,Dia de Repost,CONT_REG_08,CONT_REG_08_FB,Nenhuma,Review das licoes do mes,Nenhuma,Post Facebook,Relacionamento organico finais,Bastidores,Reforco autoridade natural,Sem CTA comercial,em_revisao,pendente_humano,FluxAI,Arte post,Baixo,Plano de Publicacao,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D29,A definir,Dia Silente,Nenhum,Nenhum,Nenhuma,Agradecimento e bastidores escritorio,Nenhuma,Nenhuma,Planejamento estrategico do novo lote,Visao da Fundadora,Conexao humana final de mes,Continue acompanhando a FluxAI,em_revisao,pendente_humano,FluxAI,Video rapido,Baixo,Auditoria Instagram,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
D30,A definir,Dia Silente,Nenhum,Nenhum,Nenhuma,Nenhuma,Artigo consolidado finalizacao ciclo LI,Nenhuma,organização das conversas pendentes,Engenharia de Autoridade,Prova do sistema mantido em ordem,Sem CTA comercial,em_revisao,pendente_humano,FluxAI,Texto longo LI,Baixo,Plano de Publicacao,1.0,PUBLICAÇÃO CONDICIONADA AO STATUS pronto_para_publicar
