aba,nivel_governanca,tipo_aba,status_operacional,fonte_verdade,make_pode_ler,os_pode_ler,relatorio_pode_ler,modo_coleta,contem_dado_sensivel,tipo_dado_sensivel,risco,acao_recomendada,prioridade,observacao
CLIENTES_CONFIG,A_FONTE_DE_VERDADE,cadastro_base,ativa,sim,sim,sim,sim,nao_aplicavel,sim,meta_access_token,critico,Remover token real,P0,Core system
SERVICOS_CLIENTES,A_FONTE_DE_VERDADE,cadastro_base,ativa,sim,sim,sim,sim,nao_aplicavel,nao,,baixo,Manter,P3,Define modo de coleta e relatorio
ROTAS_AUTOMACOES,A_FONTE_DE_VERDADE,controle_make,ativa,sim,sim,sim,nao,nao_aplicavel,sim,token_necessario,baixo,Referenciado via token_ref,P3,Chaves reais neutralizadas para token_ref.
MAKE_WORKFLOWS,A_FONTE_DE_VERDADE,controle_make,ativa,sim,sim,sim,nao,nao_aplicavel,sim,url_webhook,critico,Ocultar webhook,P0,Risco de exploit
CLIENTES_ESTRATEGIA,A_FONTE_DE_VERDADE,cadastro_base,ativa,sim,sim,sim,sim,nao_aplicavel,nao,,baixo,Manter,P3,
CONTRATOS_CLIENTES,A_FONTE_DE_VERDADE,cadastro_base,ativa,sim,nao,sim,nao,nao_aplicavel,nao,,baixo,Manter,P3,
DNA_CLIENTE_GPT,A_FONTE_DE_VERDADE,cadastro_base,ativa,sim,sim,sim,nao,nao_aplicavel,nao,,baixo,Manter,P3,
SERVICOS_EXTRAS_CLIENTES,A_FONTE_DE_VERDADE,cadastro_base,ativa,sim,sim,sim,sim,nao_aplicavel,nao,,baixo,Manter,P3,
IA_CREDITOS_CLIENTE,A_FONTE_DE_VERDADE,cadastro_base,ativa,sim,sim,sim,nao,nao_aplicavel,nao,,baixo,Manter,P3,
IA_GERACOES_CONTROLE,A_FONTE_DE_VERDADE,governanca_ia,ativa,sim,sim,sim,nao,nao_aplicavel,nao,,baixo,Manter,P3,
CLIENTES_ARQUIVOS,A_FONTE_DE_VERDADE,cadastro_base,ativa,sim,sim,sim,sim,nao_aplicavel,nao,,baixo,Manter,P3,
DEMANDAS_CLIENTES,A_FONTE_DE_VERDADE,cadastro_base,ativa,sim,sim,sim,sim,nao_aplicavel,nao,,baixo,Manter,P3,
LEADS_CLIENTES,A_FONTE_DE_VERDADE,cadastro_base,ativa,sim,sim,nao,sim,nao_aplicavel,sim,dados_pessoais,medio,Manter,P2,
LEADS_SITE,A_FONTE_DE_VERDADE,cadastro_base,ativa,sim,sim,nao,sim,nao_aplicavel,sim,dados_pessoais,medio,Manter,P2,
CONFIG,A_FONTE_DE_VERDADE,cadastro_base,ativa,sim,sim,sim,nao,nao_aplicavel,nao,,baixo,Manter,P3,
CATALOGO_SERVICOS_FLUXAI,A_FONTE_DE_VERDADE,log,ativa,sim,sim,sim,nao,nao_aplicavel,nao,,baixo,Manter append only,P2,
PLANEJAMENTO_CONTEUDO,B_OPERACIONAL,controle_operacional,ativa,nao,sim,sim,sim,nao_aplicavel,nao,,baixo,Validar filtro antes de Make,P1,
CALENDARIO_POSTAGENS,B_OPERACIONAL,controle_operacional,ativa,nao,sim,sim,sim,nao_aplicavel,nao,,baixo,Validar filtro antes de Make,P1,
STATUS_MONITOR_DIARIO,B_OPERACIONAL,governanca_ia,ativa,nao,sim,sim,nao,nao_aplicavel,sim,token_status,baixo,Higienizada,P3,Traces e logs tecnicos brutos removidos.
